sample-id	Barcode-sequence	LinkerPrimerSequence	InputFileName	Description	SampleName	Number	Province	Location	Plant 	SampleType	Site	DateCollected	Colony	DNANg 
A01	N/A	N/A	A01_9_L001_R1_001.fastq.gz	BCC_16S_R1_1	BCCV1-AP-1B	1	BC	Creston Valley	Apple	Bread	1	Spring 2021	1	1.16
A02	N/A	N/A	A02_9_L001_R1_001.fastq.gz	BCC_16S_R1_2	BCCV1-AP-2B	2	BC	Creston Valley	Apple	Bread	1	Spring 2021	2	0.74
A03	N/A	N/A	A03_9_L001_R1_001.fastq.gz	BCC_16S_R1_3	BCCV1-AP-3B	3	BC	Creston Valley	Apple	Bread	1	Spring 2021	3	0.867
A04	N/A	N/A	A04_9_L001_R1_001.fastq.gz	BCC_16S_R1_4	BCCV2-AP-1B	4	BC	Creston Valley	Apple	Bread	2	Spring 2021	1	0.563
A05	N/A	N/A	A05_9_L001_R1_001.fastq.gz	BCC_16S_R1_5	BCCV2-AP-2B	5	BC	Creston Valley	Apple	Bread	2	Spring 2021	2	0.987
A06	N/A	N/A	A06_9_L001_R1_001.fastq.gz	BCC_16S_R1_6	BCCV2-AP-3B	6	BC	Creston Valley	Apple	Bread	2	Spring 2021	3	0.525
A07	N/A	N/A	A07_9_L001_R1_001.fastq.gz	BCC_16S_R1_7	BCCV3-AP-1B	7	BC	Creston Valley	Apple	Bread	3	Spring 2021	1	1.19
A08	N/A	N/A	A08_9_L001_R1_001.fastq.gz	BCC_16S_R1_8	BCCV3-AP-2B	8	BC	Creston Valley	Apple	Bread	3	Spring 2021	2	1.44
A09	N/A	N/A	A09_9_L001_R1_001.fastq.gz	BCC_16S_R1_9	BCCV3-AP-3B	9	BC	Creston Valley	Apple	Bread	3	Spring 2021	3	1.08
A10	N/A	N/A	A10_9_L001_R1_001.fastq.gz	BCC_16S_R1_10	BCFV1-BB-1B	10	BC	Fraser Valley	Blueberry	Bread	1	12-May-21	1	1.83
A11	N/A	N/A	A11_9_L001_R1_001.fastq.gz	BCC_16S_R1_11	BCFV1-BB-2B	11	BC	Fraser Valley	Blueberry	Bread	1	12-May-21	2	1.36
A12	N/A	N/A	A12_9_L001_R1_001.fastq.gz	BCC_16S_R1_12	BCFV1-BB-3B	12	BC	Fraser Valley	Blueberry	Bread	1	12-May-21	3	2.51
A13	N/A	N/A	A13_9_L001_R1_001.fastq.gz	BCC_16S_R1_13	BCFV1-BB-4B	13	BC	Fraser Valley	Blueberry	Bread	1	12-May-21	4	4.49
A14	N/A	N/A	A14_9_L001_R1_001.fastq.gz	BCC_16S_R1_14	BCFV2-BB-1B	14	BC	Fraser Valley	Blueberry	Bread	2	12-May-21	1	5.43
A15	N/A	N/A	A15_9_L001_R1_001.fastq.gz	BCC_16S_R1_15	BCFV2-BB-2B	15	BC	Fraser Valley	Blueberry	Bread	2	12-May-21	2	3.86
A16	N/A	N/A	A16_9_L001_R1_001.fastq.gz	BCC_16S_R1_16	BCFV2-BB-3B	16	BC	Fraser Valley	Blueberry	Bread	2	12-May-21	3	1.95
A17	N/A	N/A	A17_9_L001_R1_001.fastq.gz	BCC_16S_R1_17	BCFV2-BB-4B	17	BC	Fraser Valley	Blueberry	Bread	2	12-May-21	4	5.57
A18	N/A	N/A	A18_9_L001_R1_001.fastq.gz	BCC_16S_R1_18	BCCV1-CH-1B	18	BC	Creston Valley	Cherry	Bread	1	Spring 2021	1	3.81
A19	N/A	N/A	A19_9_L001_R1_001.fastq.gz	BCC_16S_R1_19	BCCV1-CH-2B	19	BC	Creston Valley	Cherry	Bread	1	Spring 2021	2	1.07
A20	N/A	N/A	A20_9_L001_R1_001.fastq.gz	BCC_16S_R1_20	BCCV1-CH-3B	20	BC	Creston Valley	Cherry	Bread	1	Spring 2021	3	0.576
A21	N/A	N/A	A21_9_L001_R1_001.fastq.gz	BCC_16S_R1_21	BCCV2-CH-1B	21	BC	Creston Valley	Cherry	Bread	2	Spring 2021	1	0.827
A22	N/A	N/A	A22_9_L001_R1_001.fastq.gz	BCC_16S_R1_22	BCCV2-CH-2B	22	BC	Creston Valley	Cherry	Bread	2	Spring 2021	2	1.42
A23	N/A	N/A	A23_9_L001_R1_001.fastq.gz	BCC_16S_R1_23	BCCV2-CH-3B	23	BC	Creston Valley	Cherry	Bread	2	Spring 2021	3	1.65
A24	N/A	N/A	A24_9_L001_R1_001.fastq.gz	BCC_16S_R1_24	BCCV3-CH-1B	24	BC	Creston Valley	Cherry	Bread	3	Spring 2021	1	1.12
A25	N/A	N/A	A25_9_L001_R1_001.fastq.gz	BCC_16S_R1_25	BCCV3-CH-2B	25	BC	Creston Valley	Cherry	Bread	3	Spring 2021	2	0.847
A26	N/A	N/A	A26_9_L001_R1_001.fastq.gz	BCC_16S_R1_26	BCCV3-CH-3B	26	BC	Creston Valley	Cherry	Bread	3	Spring 2021	3	1.09
A27	N/A	N/A	A27_9_L001_R1_001.fastq.gz	BCC_16S_R1_27	BCFV1-WF-1B	27	BC	Fraser Valley	Wild forage	Bread	1	12-May-21	1	0.933
A28	N/A	N/A	A28_9_L001_R1_001.fastq.gz	BCC_16S_R1_28	BCFV1-WF-2B	28	BC	Fraser Valley	Wild forage	Bread	1	12-May-21	2	0.8
